applicant_id,age,gender,marital_status,education_level,employment_type,years_employed,annual_income,monthly_income,income_stability_score,has_co_signer,num_dependents,credit_score,credit_history_length_years,num_open_accounts,num_credit_inquiries_6m,debt_to_income_ratio,previous_defaults,bankruptcy_history,loan_amount,loan_term_months,loan_purpose,interest_rate,has_collateral,loan_to_value_ratio,savings_balance,checking_balance,investment_portfolio_value,monthly_expenses,has_direct_deposit,application_date,application_channel,relationship_tenure_years,defaulted
APP_00000035,36,Female,Single,Bachelor,Self-employed,8,51166.0,4263.83,9,No,2,789.0,6,11,2,12.3,1,Yes,23360.0,60,Education,7.16,Yes,61.22,30105.56,752.25,4906.19,3429.36,Yes,2023-03-03,Branch,2,Yes
APP_00000036,22,Female,Single,Bachelor,Full-time,13,20354.0,1696.17,9,Yes,0,732.0,5,13,4,44.68,0,No,63256.0,12,Debt Consolidation,13.9,Yes,42.24,10621.63,8357.66,17574.34,781.06,No,2023-08-09,Online,3,No
APP_00000037,41,Male,Single,Bachelor,Self-employed,3,51325.0,4277.08,8,No,1,659.0,2,3,1,61.26,0,No,31360.0,36,Debt Consolidation,12.15,Yes,46.73,21703.8,1759.77,10612.61,2988.69,Yes,2023-03-27,Online,3,No
APP_00000038,27,Male,Married,High School,Full-time,1,49583.0,4131.92,4,No,2,793.0,5,4,1,41.2,0,No,32739.0,36,Home,3.24,No,51.62,74560.05,6276.28,16155.07,2808.4,Yes,2023-04-22,Online,7,No
APP_00000039,33,Female,Married,Bachelor,Unemployed,1,32725.0,2727.08,8,Yes,1,629.0,14,3,0,17.52,0,No,13634.0,72,Business,6.43,Yes,61.05,8395.43,3174.97,2710.94,1656.93,Yes,2023-12-06,Branch,1,No
APP_00000040,34,Female,Divorced,Master,Full-time,0,13189.0,1099.08,8,No,2,736.0,3,5,0,15.79,1,No,19816.0,180,Car,6.39,Yes,66.72,56340.51,2740.3,1624.7,,Yes,2023-09-02,Branch,24,Yes
APP_00000041,49,Male,Married,High School,Full-time,5,70954.0,5912.83,10,No,1,668.0,39,14,1,15.06,0,No,31957.0,60,Business,4.37,No,54.3,2319.14,2201.25,17833.66,3401.37,Yes,2023-08-30,Online,12,No
APP_00000042,46,Female,Married,High School,Self-employed,1,33096.0,2758.0,8,No,2,706.0,10,6,0,38.4,0,Yes,26295.0,12,Car,11.46,Yes,48.1,540.18,5466.22,61635.21,1739.24,Yes,2023-06-16,Phone,2,Yes
APP_00000043,34,Male,Married,Master,Self-employed,14,102062.0,8505.17,8,No,0,,9,3,2,19.5,0,Yes,27651.0,60,Business,10.8,Yes,58.43,3340.32,2531.11,10067.63,7158.39,No,2023-04-19,Online,4,Yes
APP_00000044,24,Female,Single,Bachelor,Full-time,2,25221.0,2101.75,7,No,0,692.0,2,10,2,39.44,0,No,34848.0,84,Home,3.19,No,53.14,11333.39,1406.38,598.93,,Yes,2023-07-18,Online,2,No
APP_00000045,46,Male,Single,Bachelor,Part-time,9,81043.0,6753.58,4,No,1,638.0,2,9,0,26.79,1,No,19254.0,60,Car,4.65,No,73.1,11007.42,5093.27,12053.08,,No,2023-05-27,Online,5,Yes
APP_00000046,38,Female,Divorced,Bachelor,Full-time,4,65957.0,5496.42,7,No,1,681.0,17,10,2,44.29,0,No,28796.0,60,Car,7.32,No,79.55,33573.88,7825.63,15562.65,4888.73,Yes,2023-12-31,Online,18,No
APP_00000047,43,Male,Married,Master,Full-time,12,44754.0,3729.5,6,No,1,741.0,9,10,3,40.17,0,No,14662.0,60,Home,12.86,No,77.36,4382.13,14968.68,3996.9,1890.72,No,2023-09-24,Branch,0,Yes
APP_00000048,42,Male,Married,Bachelor,Full-time,6,70787.0,5898.92,7,No,2,675.0,10,6,1,67.72,1,No,19459.0,36,Education,3.96,Yes,70.66,1292.13,4496.95,1983.04,2603.74,Yes,2023-04-14,Branch,6,Yes
APP_00000049,37,Female,Married,High School,Full-time,0,68971.0,5747.58,10,No,1,745.0,6,8,1,20.23,0,No,32207.0,120,Education,8.74,No,28.79,6068.88,9858.52,84520.46,3421.9,Yes,2023-10-28,Phone,1,No
APP_00000050,45,Female,Married,Bachelor,Full-time,1,75776.0,6314.67,4,Yes,2,770.0,4,10,0,25.71,0,Yes,29980.0,36,Business,10.21,Yes,92.66,12142.18,617.43,14032.9,3233.59,Yes,2023-08-10,Online,0,Yes
APP_00000051,50,Female,Divorced,High School,Full-time,2,34603.0,2883.58,8,No,1,646.0,13,8,6,24.31,0,No,26655.0,36,Home,6.16,No,54.35,12056.78,17359.98,4077.05,1990.33,Yes,2023-05-03,Phone,4,Yes
APP_00000052,21,Female,Single,High School,Full-time,4,41354.0,3446.17,7,No,2,717.0,0,7,3,10.67,0,No,18253.0,36,Education,7.34,No,91.03,14690.96,3863.7,25446.12,1620.64,No,2023-04-06,Online,7,No
APP_00000053,48,Male,Married,Master,Full-time,2,69665.0,5805.42,9,No,0,731.0,13,7,3,18.44,0,No,17284.0,60,Home,4.86,Yes,39.39,,6625.15,16731.56,,Yes,2023-03-23,Online,5,No
APP_00000054,39,Male,Married,Bachelor,Full-time,2,288784.0,24065.33,9,No,0,615.0,1,13,1,54.96,0,No,21431.0,48,Business,5.84,No,26.77,15000.17,12052.19,45546.56,15128.95,Yes,2023-03-30,Phone,0,No
APP_00000055,33,Male,Single,Master,Full-time,1,40740.0,3395.0,7,No,0,595.0,19,9,1,10.84,0,No,25309.0,60,Debt Consolidation,11.79,Yes,41.4,7628.48,13046.38,62779.12,2560.76,Yes,2023-04-29,Online,2,Yes
APP_00000056,21,Female,Divorced,High School,Full-time,18,69262.0,5771.83,10,No,2,750.0,3,8,5,54.02,0,No,18515.0,84,Car,6.59,Yes,65.26,12144.58,6533.66,2375.95,3988.85,Yes,2023-05-18,Online,5,Yes
APP_00000057,32,Male,Married,Master,Full-time,2,55177.0,4598.08,5,Yes,1,850.0,2,8,1,45.97,0,No,73542.0,36,Car,6.71,No,64.98,3360.03,7716.56,23701.04,4033.69,Yes,2023-07-28,Branch,2,No
APP_00000058,54,Male,Married,High School,Self-employed,3,44672.0,3722.67,7,No,2,672.0,4,7,2,4.12,1,No,36438.0,48,Home,6.95,No,32.61,12987.4,4861.02,53938.34,1650.9,No,2023-12-21,Branch,1,No
APP_00000059,40,Male,Single,High School,Full-time,7,82066.0,6838.83,9,No,1,802.0,3,5,3,31.36,1,No,51449.0,12,Education,11.53,No,47.38,20960.01,60.75,1735.85,5209.48,Yes,2023-06-10,Online,0,No
APP_00000060,64,Male,Single,High School,Full-time,0,65852.0,5487.67,10,No,1,593.0,2,12,5,4.65,0,No,41764.0,72,Car,11.89,Yes,34.94,10708.14,1084.91,6022.89,3214.58,Yes,2023-03-21,Online,0,Yes
APP_00000061,71,Female,Single,High School,Full-time,0,152666.0,12722.17,5,No,5,625.0,3,10,2,35.81,0,No,9878.0,24,Home,1.62,Yes,73.66,9225.97,8256.69,16164.01,9435.72,Yes,2023-03-16,Branch,4,No
APP_00000062,43,Female,Married,High School,Full-time,0,46408.0,3867.33,6,No,2,749.0,21,11,1,57.86,1,Yes,22311.0,180,Debt Consolidation,3.99,No,76.72,32.46,1296.35,11716.45,3152.11,Yes,2023-01-20,Online,1,Yes
APP_00000063,46,Male,Single,Bachelor,Full-time,3,31472.0,2622.67,8,No,0,772.0,34,8,0,31.28,0,No,58811.0,180,Debt Consolidation,12.58,No,66.46,19275.49,1627.38,15968.19,1327.26,Yes,2023-08-15,Online,4,No
APP_00000064,47,Male,Married,PhD,Self-employed,3,76048.0,6337.33,9,No,2,792.0,3,8,0,37.01,0,No,17385.0,72,Home,4.55,Yes,71.23,5448.38,83.49,14171.95,3278.21,No,2023-08-01,Online,9,No
APP_00000065,63,Female,Single,Master,Full-time,0,28856.0,2404.67,5,No,1,655.0,0,11,5,15.75,1,No,15979.0,36,Car,11.64,No,76.34,8670.45,3936.31,3924.58,1051.69,Yes,2023-03-19,Online,2,Yes
APP_00000066,48,Female,Married,Master,Full-time,0,91635.0,7636.25,9,No,2,608.0,1,14,3,6.3,1,No,38494.0,60,Home,10.62,Yes,49.86,9126.1,17783.41,32928.95,3434.07,Yes,2023-06-07,Branch,2,No
APP_00000067,21,Male,Divorced,Bachelor,Full-time,0,51697.0,4308.08,8,No,2,719.0,19,10,1,39.89,1,No,26091.0,48,Car,9.81,No,23.2,13555.05,1913.65,10255.49,1827.61,Yes,2023-03-17,Phone,0,No
APP_00000068,46,Male,Divorced,PhD,Full-time,0,52516.0,4376.33,6,No,1,608.0,0,6,2,34.8,0,No,22575.0,48,Personal,5.53,Yes,87.21,2071.05,4024.82,15655.14,3610.74,Yes,2023-09-07,Online,6,No
APP_00000069,68,Female,Married,High School,Part-time,6,24255.0,2021.25,6,No,2,703.0,8,5,3,20.59,0,No,12517.0,48,Business,9.54,Yes,64.2,3452.1,515.77,19189.1,1572.05,Yes,2023-01-24,Online,16,No
APP_00000070,21,Female,Single,High School,Full-time,0,69692.0,5807.67,7,No,0,633.0,4,1,0,39.42,0,No,21930.0,36,Home,7.43,No,74.68,10898.74,2011.82,4476.14,3308.98,Yes,2023-07-13,Online,6,No
APP_00000071,33,Male,Married,High School,Retired,0,79444.0,6620.33,8,No,0,769.0,38,10,4,35.71,0,Yes,35619.0,24,Education,7.61,No,37.18,7453.95,3393.72,31383.86,3779.07,No,2023-10-18,Branch,8,No
APP_00000072,57,Male,Married,High School,Self-employed,6,100577.0,8381.42,8,No,1,791.0,0,11,4,18.93,0,No,83720.0,72,Home,6.86,Yes,71.02,2801.99,2452.63,50506.33,5665.98,Yes,2023-11-06,Online,2,No
APP_00000073,55,Male,Married,PhD,Full-time,9,64503.0,5375.25,7,No,2,,6,7,2,35.2,0,No,23631.0,12,Education,6.26,Yes,70.89,15839.94,1233.59,117799.12,4390.87,Yes,2023-06-19,Online,11,No
APP_00000074,46,Male,Divorced,Bachelor,Self-employed,2,95746.0,7978.83,8,No,0,485.0,3,3,0,17.63,0,No,23784.0,36,Business,7.61,No,82.14,29420.73,1923.92,34492.32,5254.33,No,2023-05-18,Branch,0,No
APP_00000075,54,Female,Married,High School,Full-time,11,90386.0,7532.17,5,No,0,707.0,4,8,2,12.43,0,No,39592.0,240,Education,4.86,Yes,52.7,4350.43,10792.8,46726.74,6119.13,Yes,2023-02-27,Branch,0,No
APP_00000076,41,Male,Married,PhD,Full-time,0,43908.0,3659.0,6,Yes,0,766.0,9,2,3,33.8,1,No,33836.0,60,Debt Consolidation,1.65,No,76.62,10656.3,4254.7,91389.9,2284.37,Yes,2023-03-10,Online,21,Yes
APP_00000077,50,Male,Married,Bachelor,Unemployed,1,18650.0,1554.17,5,No,1,670.0,8,10,2,27.35,1,No,38951.0,84,Car,6.83,No,45.75,,1291.98,27562.92,1341.42,No,2023-01-19,Branch,4,Yes
APP_00000078,38,Male,Single,High School,Full-time,15,42252.0,3521.0,10,Yes,2,635.0,0,8,3,56.54,0,No,29388.0,12,Debt Consolidation,6.97,No,72.21,,4521.89,44155.96,2362.92,Yes,2023-04-24,Branch,0,No
APP_00000079,32,Female,Single,Master,Self-employed,0,179533.0,14961.08,8,No,5,649.0,10,8,2,56.21,1,No,12672.0,24,Home,8.95,No,70.66,10364.58,4913.77,1741.35,8640.44,No,2023-06-18,Branch,2,No
APP_00000080,56,Female,Single,High School,Full-time,7,60954.0,5079.5,9,No,2,751.0,13,9,0,53.02,0,Yes,21179.0,60,Education,11.59,No,85.78,8263.36,5895.41,10785.76,2787.35,Yes,2023-04-18,Online,4,No
APP_00000081,40,Male,Married,Master,Self-employed,20,106144.0,8845.33,7,No,3,614.0,5,5,5,39.55,0,No,15017.0,36,Home,7.13,No,33.05,19559.69,10347.22,7167.47,4724.11,Yes,2023-12-01,Phone,11,Yes
APP_00000082,22,Female,Single,High School,Full-time,6,91161.0,7596.75,8,No,2,594.0,1,5,1,18.19,0,No,51044.0,36,Home,11.67,No,81.81,4258.84,8660.07,11368.92,4305.83,No,2023-05-06,Online,3,No
APP_00000083,37,Female,Single,Master,Part-time,1,138620.0,11551.67,4,Yes,0,594.0,11,9,2,26.27,0,No,15312.0,60,Business,8.87,No,41.09,12051.82,3059.34,11816.76,6226.12,Yes,2023-01-30,Online,2,No
APP_00000084,38,Female,Married,Master,Full-time,1,77960.0,6496.67,4,No,0,638.0,8,8,0,9.82,0,No,60164.0,36,Medical,11.67,Yes,57.93,1130.12,24480.09,2436.25,3131.86,Yes,2023-11-13,Online,1,No
APP_00000085,45,Female,Single,High School,Self-employed,4,173615.0,14467.92,9,No,2,574.0,6,7,1,12.34,0,No,14873.0,72,Debt Consolidation,11.36,No,49.26,13024.94,2840.14,74569.45,12930.26,No,2023-09-16,Online,6,Yes
APP_00000086,32,Male,Married,Bachelor,Self-employed,26,80076.0,6673.0,10,No,0,693.0,5,11,1,17.94,0,No,20651.0,24,Home,3.82,No,87.53,6040.64,2882.89,15324.84,5216.87,No,2023-04-05,Phone,0,No
APP_00000087,59,Female,Married,Bachelor,Unemployed,13,24840.0,2070.0,10,No,2,782.0,27,8,4,27.63,0,No,12390.0,36,Home,8.5,No,89.7,7923.33,2615.18,46423.33,1802.81,Yes,2023-12-27,Online,0,No
APP_00000088,40,Female,Married,High School,Full-time,29,96397.0,8033.08,6,No,1,651.0,0,4,4,31.33,0,No,19736.0,72,Debt Consolidation,9.27,No,94.51,1596.21,20514.75,50784.39,6646.78,Yes,2023-03-08,Online,0,No
APP_00000089,31,Male,Divorced,Bachelor,Self-employed,1,90140.0,7511.67,9,No,0,,1,9,3,41.15,0,No,19913.0,36,Debt Consolidation,8.56,No,71.41,4661.69,615.26,40837.54,6163.36,Yes,2023-09-16,Online,1,No
APP_00000090,41,Male,Married,High School,Full-time,2,28551.0,2379.25,6,Yes,4,848.0,1,4,0,19.29,1,No,39093.0,60,Home,5.48,Yes,18.3,6094.09,4510.48,6826.83,960.81,No,2023-03-25,Phone,1,No
APP_00000091,31,Male,Single,Bachelor,Full-time,18,18203.0,1516.92,9,No,3,780.0,5,7,3,36.1,1,No,61824.0,72,Car,5.99,No,53.99,2785.04,2305.08,5540.85,1081.6,No,2023-11-05,Branch,0,Yes
APP_00000092,42,Male,Married,Bachelor,Part-time,1,22915.0,1909.58,9,No,1,590.0,35,11,1,32.9,0,No,61082.0,240,Education,7.98,No,48.0,11598.08,5774.4,18070.1,1527.4,Yes,2023-08-14,Online,7,No
APP_00000093,28,Male,Single,High School,Full-time,4,22275.0,1856.25,5,No,1,805.0,0,5,2,7.0,0,No,11800.0,48,Home,12.21,No,72.23,19384.11,10.6,15795.08,996.23,Yes,2023-05-30,Branch,3,No
APP_00000094,50,Female,Married,Bachelor,Full-time,2,74328.0,6194.0,8,No,1,769.0,0,14,4,25.41,0,No,25174.0,360,Home,5.44,No,33.05,487.2,16999.9,21355.25,3029.5,No,2023-09-29,Online,1,No
APP_00000095,29,Male,Single,Bachelor,Full-time,0,58846.0,4903.83,7,No,0,550.0,8,4,3,27.75,2,No,15571.0,84,Home,4.48,No,62.12,19414.83,6307.91,15658.68,,No,2023-02-15,Online,8,No
APP_00000096,35,Male,Single,Master,Full-time,14,50247.0,4187.25,8,No,3,575.0,3,9,4,64.26,0,No,12381.0,60,Home,5.75,No,89.79,30852.88,1725.65,8271.03,3646.28,No,2023-05-27,Online,2,Yes
APP_00000097,33,Female,Married,Master,Full-time,1,26162.0,2180.17,7,No,4,836.0,6,7,2,22.01,0,No,9954.0,84,Home,12.12,Yes,34.01,12059.1,10753.27,5185.76,1331.65,Yes,2023-04-01,Online,3,Yes
APP_00000098,42,Male,Divorced,High School,Part-time,1,55882.0,4656.83,10,Yes,1,680.0,2,3,1,7.8,1,No,24380.0,48,Home,4.61,Yes,59.53,5294.66,1918.57,14222.66,3096.01,Yes,2023-08-13,Online,2,No
APP_00000099,41,Male,Married,High School,Part-time,9,40085.0,3340.42,7,No,1,716.0,4,8,2,29.48,1,No,14148.0,120,Debt Consolidation,9.89,No,40.93,654.48,460.25,734.31,1342.21,No,2023-07-03,Online,15,No
APP_00000100,36,Female,Divorced,High School,Unemployed,3,75162.0,6263.5,8,No,1,559.0,10,8,2,42.98,0,No,28253.0,36,Debt Consolidation,5.07,No,70.47,26241.24,3950.01,9135.5,5371.39,Yes,2023-03-01,Online,7,Yes
APP_00000101,33,Female,Divorced,Master,Full-time,5,65124.0,5427.0,9,No,0,779.0,15,4,1,26.71,0,No,20428.0,24,Car,10.49,No,53.12,6940.89,6718.28,11235.04,4754.65,Yes,2023-04-07,Branch,10,No
APP_00000102,26,Female,Divorced,PhD,Full-time,3,107105.0,8925.42,7,No,4,796.0,24,8,3,53.91,0,No,24548.0,48,Home,4.88,No,71.6,382.92,2017.69,58675.34,6411.05,Yes,2023-10-07,Online,0,Yes
APP_00000103,21,Male,Divorced,Bachelor,Retired,7,60377.0,5031.42,6,No,0,574.0,2,10,1,60.68,0,No,21579.0,120,Home,7.5,Yes,39.29,11241.69,4229.93,5480.1,4296.72,Yes,2023-10-01,Branch,2,No
APP_00000104,56,Male,Married,Bachelor,Full-time,3,33646.0,2803.83,8,No,2,653.0,5,6,5,58.17,0,No,17097.0,120,Home,1.33,No,79.9,6464.95,970.78,69302.29,2413.27,Yes,2023-06-06,Online,1,No
APP_00000105,26,Male,Single,Bachelor,Full-time,1,21675.0,1806.25,3,Yes,1,600.0,8,4,1,51.54,0,No,15069.0,84,Debt Consolidation,6.4,Yes,88.75,4091.07,2018.04,3437.97,1183.51,Yes,2023-06-20,Online,0,Yes
APP_00000106,21,Male,Single,High School,Full-time,4,83201.0,6933.42,5,No,0,680.0,0,10,1,12.08,1,No,29977.0,84,Debt Consolidation,8.54,Yes,23.45,,82.17,3336.93,5722.32,Yes,2023-10-11,Online,1,No
APP_00000107,57,Female,Single,High School,Unemployed,0,69662.0,5805.17,8,No,2,544.0,29,11,0,4.74,0,No,55500.0,36,Car,9.16,Yes,14.35,14780.73,6325.94,21802.68,3922.55,Yes,2023-05-03,Online,0,Yes
APP_00000108,28,Female,Single,PhD,Full-time,0,9594.0,799.5,5,Yes,1,638.0,4,10,4,17.42,0,No,27130.0,36,Car,7.81,No,81.02,10253.4,6141.91,28271.99,703.21,Yes,2023-11-18,Online,8,No
APP_00000109,39,Male,Divorced,Master,Full-time,3,33643.0,2803.58,8,No,1,822.0,30,6,0,32.42,0,No,40275.0,120,Business,6.37,Yes,48.99,,6735.74,75997.84,1406.05,Yes,2023-06-19,Online,4,No
APP_00000110,41,Female,Married,Master,Retired,3,63726.0,5310.5,8,No,1,592.0,15,8,2,37.36,0,No,24946.0,180,Home,2.28,No,56.42,54246.91,1393.12,9454.2,4503.79,Yes,2023-02-27,Branch,0,No
APP_00000111,34,Male,Married,Bachelor,Full-time,3,135193.0,11266.08,7,No,2,673.0,8,7,5,44.08,0,No,30698.0,24,Car,10.54,No,37.27,1324.65,947.58,49313.69,5924.0,Yes,2023-10-14,Branch,9,No
APP_00000112,21,Male,Divorced,Master,Full-time,5,155620.0,12968.33,10,No,2,831.0,5,14,2,27.64,0,No,16515.0,48,Home,9.64,No,34.9,11594.95,9580.58,50507.39,6440.27,No,2023-12-31,Online,4,No
